id,Kecamatan,Kelurahan,Komuditas,Deskripsi,Harga
1121,Abeli,Abeli,Kubis,"Kubis segar, renyah, dan penuh nutrisi hanya Rp 10.000 per kilogram!","10.000,00"
1122,Abeli,Abeli,Paprika,"Paprika segar, warna-warni, dan kaya vitamin untuk hidangan lezat Anda!","25.000,00"
1123,Abeli,Abeli,Wortel,"Wortel segar dan renyah, penuh dengan vitamin A untuk kesehatan mata Anda!","10.000,00"
1124,Abeli,Abeli,Kembang Kol,"Segar! Kembang kol terbaik langsung dari kebun kami. Dijual per kilo, hanya Rp20.000 per kilo. Cocok untuk berbagai masakan sehat seperti sup, tumisan, atau dipanggang. Segera dapatkan kembang kol segar yang renyah dan kaya nutrisi ini di pasar kami!","20.000,00"
1125,Abeli,Abeli,Timun,"Segar! Timun hijau dan renyah, hanya Rp5.000 per kilo. Cocok untuk lalapan, salad, atau jus segar. Ayo, dapatkan timun segar langsung dari kebun kami. Dijamin kualitas terbaik!","5.000,00"
1126,Abeli,Abeli,Pepaya,"Ayo, pepaya segar, manis, dan kaya vitamin! Dijual per buah cuma Rp10.000. Cocok buat jus, rujak, atau dimakan langsung. Segera beli di lapak kami, pepayanya dijamin segar langsung dari kebun!","10.000,00"
1127,Abeli,Abeli,Kentang,"Ayo, ayo, kentang segar baru panen! Dijual per kilo cuma Rp15.000. Cocok buat digoreng, direbus, atau jadi bahan sup. Segera beli di lapak kami, kentangnya besar dan berkualitas!","15.000,00"
1128,Abeli,Abeli,Labu,"Ayo, ayo, labu segar baru panen! Dijual per kilo cuma Rp10.000. Cocok buat sup, tumis, atau kolak. Segera beli di lapak kami, labunya besar dan manis, langsung dari kebun!","10.000,00"
1129,Abeli,Abeli,Lobak,"Ayo, ayo, lobak segar baru panen! Dijual per kilo cuma Rp12.000. Cocok buat sup, tumis, atau acar. Segera beli di lapak kami, lobaknya besar dan renyah, langsung dari kebun!","12.000,00"
1130,Abeli,Abeli,Tomat,"Ayo, ayo, tomat segar baru panen! Dijual per kilo cuma Rp10.000. Cocok buat sambal, tumis, atau lalapan. Segera beli di lapak kami, tomatnya merah merona dan manis, langsung dari kebun!","10.000,00"
1201,Abeli,Anggalomelai,Ikan Bandeng,Dapatkan ikan bandeng berkualitas untuk hidangan sehat keluarga.,"32.000,00"
1202,Abeli,Anggalomelai,Ikan Lele,Dapatkan ikan Lele berkualitas untuk berbagai olahan masakan.,"20.500,00"
1203,Abeli,Anggalomelai,Ikan Betok,Dapatkan ikan betok berkualitas untuk olahan favorit Anda.,"32.000,00"
1204,Abeli,Anggalomelai,Belut Air Tawar,"Belut air tawar segar, untuk masakan sehari-hari yang nikmat.","75.000,00"
1205,Abeli,Anggalomelai,Ikan Emas,"Ikan emas segar, siap diolah menjadi berbagai jenis masakan.","56.000,00"
1206,Abeli,Anggalomelai,Ikan Gurami,"Ikan gurami segar, kaya akan gizi untuk keluarga.","65.000,00"
1207,Abeli,Anggalomelai,Ikan Mas Rumput,Pilihan terbaik ikan mas rumput segar untuk menu harian.,"49.000,00"
1208,Abeli,Anggalomelai,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, mudah diolah menjadi berbagai hidangan.","165.000,00"
1209,Abeli,Anggalomelai,Ikan Belida,Dapatkan ikan belida segar berkualitas untuk masakan lezat.,"102.000,00"
1210,Abeli,Anggalomelai,Ikan Belanak,"Ikan belanak segar, sempurna untuk berbagai jenis olahan.","61.000,00"
1211,Abeli,Anggalomelai,Ikan Kiper,"Ikan kiper segar, cocok untuk masakan berkuah atau panggang.","36.000,00"
1212,Abeli,Anggalomelai,Ikan Mas Perak,"Ikan mas perak segar, siap untuk berbagai jenis olahan lezat.","38.000,00"
1213,Abeli,Anggalomelai,Ikan Nila,"Ikan nila segar, cocok untuk masakan goreng atau panggang.","30.000,00"
1214,Abeli,Anggalomelai,Ikan Kepala Ular,"Ikan kepala ular segar, kaya akan nutrisi untuk keluarga.","97.000,00"
1215,Abeli,Anggalomelai,Ikan Bulan-bulan,Dapatkan ikan bulan-bulan segar berkualitas untuk masakan lezat.,"77.000,00"
1216,Abeli,Anggalomelai,Kacang Kapri,"Kacang kapri ini kaya akan vitamin C dan K, bagus buat kesehatan! Tambahkan ke dalam menu harian Anda biar makin sehat dan bugar","30.500,00"
1217,Abeli,Anggalomelai,Pare,Pare segar dengan harga Rp 10.000/500g. Pas untuk menambah kelezatan masakan,"10.000,00"
1218,Abeli,Anggalomelai,Labu Air,"Labu air segar seharga Rp 10.000 per buah, sempurna untuk tambahan masakan harian Anda. Labu ini kaya akan serat dan vitamin, cocok untuk menjaga kesehatan pencernaan Anda","10.000,00"
1219,Abeli,Anggalomelai,Terong,Nikmati terong segar dengan harga Rp 6.000 per 300 gram. Terong ini ideal untuk dijadikan tambahan sayur dalam menu harian Anda,"6.000,00"
1220,Abeli,Anggalomelai,Brokoli,"Brokoli segar, pilihan terbaik untuk kesehatan Anda!","28.000,00"
1221,Abeli,Anggalomelai,Kubis,"Nikmati kubis berkualitas tinggi, cocok untuk berbagai masakan","9.500,00"
1222,Abeli,Anggalomelai,Capsicum/Paprika,Paprika renyah yang sempurna untuk menambah cita rasa pada masakan Anda!,"24.000,00"
1223,Abeli,Anggalomelai,Wortel,"Wortel manis dan segar, sempurna untuk camilan sehat dan jus segar!","12.500,00"
1224,Abeli,Anggalomelai,Kembang Kol,"Kembang kol segar, putih bersih dan padat. Dijual per buah dengan harga Rp15.000 per buah. Sangat cocok untuk membuat sayur lodeh atau dijadikan salad. Jangan lewatkan kembang kol yang penuh vitamin C dan serat ini di lapak kami!","15.000,00"
1225,Abeli,Anggalomelai,Timun,"Timun segar, dijual per buah hanya Rp2.000. Ideal untuk camilan sehat atau tambahan dalam salad. Timun kami selalu segar dan renyah. Jangan lewatkan kesempatan ini!","2.000,00"
1226,Abeli,Anggalomelai,Pepaya,"Pepaya segar, dijual per kilo hanya Rp15.000. Buahnya besar dan manis, pas banget buat rujak atau salad buah. Ayo buruan, pepaya segar di lapak kami lagi diskon!","15.000,00"
1227,Abeli,Anggalomelai,Kentang,"Kentang segar, dijual per buah cuma Rp2.000. Pas banget buat kentang goreng atau campuran sop. Kentangnya empuk dan enak, langsung dari kebun. Jangan lewatkan kesempatan ini!","2.000,00"
1228,Abeli,Anggalomelai,Labu,"Labu segar, dijual per buah cuma Rp8.000. Pas banget buat sayur sop atau campuran masakan. Labunya empuk dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","8.000,00"
1229,Abeli,Anggalomelai,Lobak,"Lobak segar, dijual per buah cuma Rp5.000. Pas banget buat sayur sop atau campuran masakan. Lobaknya empuk dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","5.000,00"
1230,Abeli,Anggalomelai,Tomat,"Tomat segar, dijual per buah cuma Rp1.000. Pas banget buat salad atau campuran masakan. Tomatnya segar dan enak, langsung dari petani. Jangan lewatkan kesempatan ini!","1.000,00"
1301,Abeli,Benuanirae,Ikan Bandeng,"Ikan bandeng segar, kaya akan nutrisi untuk menu harian Anda.","31.000,00"
1302,Abeli,Benuanirae,Ikan Lele,"Ikan Lele segar, sumber protein tinggi untuk keluarga Anda.","18.500,00"
1303,Abeli,Benuanirae,Ikan Betok,"Ikan betok segar, kaya akan gizi untuk keluarga.","29.000,00"
1304,Abeli,Benuanirae,Belut Air Tawar,"Belut air tawar segar, pilihan terbaik untuk keluarga Anda.","72.000,00"
1305,Abeli,Benuanirae,Ikan Emas,"Ikan emas segar, untuk masakan sehari-hari yang nikmat.","51.000,00"
1306,Abeli,Benuanirae,Ikan Gurami,Pilihan terbaik ikan gurami segar untuk menu harian.,"62.000,00"
1307,Abeli,Benuanirae,Ikan Mas Rumput,"Ikan mas rumput segar, cocok untuk berbagai masakan lezat.","50.000,00"
1308,Abeli,Benuanirae,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, langsung dari kolam ke dapur Anda.","168.000,00"
1309,Abeli,Benuanirae,Ikan Belida,"Ikan belida segar, sumber protein yang kaya untuk keluarga.","103.000,00"
1310,Abeli,Benuanirae,Ikan Belanak,"Ikan belanak segar, cocok untuk masakan panggang atau goreng.","62.000,00"
1311,Abeli,Benuanirae,Ikan Kiper,Rasakan kelezatan ikan kiper segar di setiap hidangan.,"37.000,00"
1312,Abeli,Benuanirae,Ikan Mas Perak,"Ikan mas perak segar, sumber protein yang kaya untuk keluarga.","36.000,00"
1313,Abeli,Benuanirae,Ikan Nila,"Ikan nila segar, sempurna untuk berbagai olahan kuliner.","32.000,00"
1314,Abeli,Benuanirae,Ikan Kepala Ular,Dapatkan ikan kepala ular segar berkualitas untuk masakan lezat.,"100.000,00"
1315,Abeli,Benuanirae,Ikan Bulan-bulan,"Ikan bulan-bulan segar, kaya akan nutrisi untuk keluarga.","68.000,00"
1316,Abeli,Benuanirae,Kacang Kapri,"Tambahkan kacang kapri ini di menit terakhir masakan Anda, biar kerenyahannya tetap terjaga. Cocok buat segala jenis hidangan","31.000,00"
1317,Abeli,Benuanirae,Pare,Pare segar dengan harga Rp 15.000/750g. Lebih banyak untuk berbagai variasi masakan,"15.000,00"
1318,Abeli,Benuanirae,Labu Air,Dapatkan labu air segar hanya dengan Rp 12.000 per buah. Ideal untuk dibuat sup atau tumisan yang lezat. Rasakan manfaatnya yang kaya nutrisi dan rendah kalori,"12.000,00"
1319,Abeli,Benuanirae,Terong,"Terong segar seharga Rp 7.000 per 350 gram, memberikan rasa yang lezat pada masakan Anda. Kaya akan serat dan vitamin","7.000,00"
1320,Abeli,Benuanirae,Brokoli,"Brokoli berkualitas, langsung dari kebun ke meja Anda!","30.000,00"
1321,Abeli,Benuanirae,Kubis,"Kubis pilihan terbaik untuk menu sehat Anda, sekarang hanya Rp 11.000 per kilogram!","11.000,00"
1322,Abeli,Benuanirae,Capsicum/Paprika,"Paprika merah, hijau, dan kuning segar, ideal untuk salad sehat dan segar!","26.500,00"
1323,Abeli,Benuanirae,Wortel,Tambahkan wortel berkualitas tinggi ke dalam hidangan Anda untuk rasa dan kesehatan optimal!,"15.000,00"
1324,Abeli,Benuanirae,Kembang Kol,"Kembang kol segar kualitas terbaik! Dijual per kilo dengan harga spesial Rp18.000 per kilo. Cocok untuk berbagai masakan, dari sup hingga panggangan. Kembang kol kami selalu segar dan lezat. Ayo, segera beli sebelum kehabisan!","18.000,00"
1325,Abeli,Benuanirae,Timun,"Promo spesial timun, Rp4.500 per kilo! Timun yang renyah dan segar, cocok untuk berbagai masakan. Segera beli timun terbaik di lapak kami dan rasakan kesegarannya.","4.500,00"
1326,Abeli,Benuanirae,Pepaya,"Pepaya matang manis, dijual per buah cuma Rp12.000. Cocok buat jus atau dimakan langsung. Pepaya dari kebun sendiri, segar dan penuh gizi. Yuk, beli sekarang di lapak kami!","12.000,00"
1327,Abeli,Benuanirae,Kentang,"Promo spesial kentang segar, Rp14.000 per kilo! Cocok untuk berbagai masakan, dari gorengan sampai rebusan. Segera dapatkan kentang terbaik di lapak kami, langsung dari petani!","14.000,00"
1328,Abeli,Benuanirae,Labu,"Promo spesial labu segar, Rp9.000 per kilo! Cocok untuk berbagai masakan, dari sup sampai kolak. Segera dapatkan labu terbaik di lapak kami, segar dan berkualitas!","9.000,00"
1329,Abeli,Benuanirae,Lobak,"Promo spesial lobak segar, Rp11.000 per kilo! Cocok untuk berbagai masakan, dari sup sampai tumis. Segera dapatkan lobak terbaik di lapak kami, segar dan berkualitas!","11.000,00"
1330,Abeli,Benuanirae,Tomat,"Promo spesial tomat segar, Rp9.000 per kilo! Cocok untuk berbagai masakan, dari sambal sampai tumis. Segera dapatkan tomat terbaik di lapak kami, segar dan berkualitas!","9.000,00"
1401,Abeli,Lapulu,Ikan Bandeng,Pilihan terbaik ikan bandeng segar untuk sajian spesial.,"36.000,00"
1402,Abeli,Lapulu,Ikan Lele,Pilihan terbaik ikan Lele segar untuk menu harian.,"23.500,00"
1403,Abeli,Lapulu,Ikan Betok,Pilihan terbaik ikan betok segar untuk menu harian.,"33.500,00"
1404,Abeli,Lapulu,Belut Air Tawar,"Belut air tawar segar, mudah diolah menjadi berbagai hidangan.","68.000,00"
1405,Abeli,Lapulu,Ikan Emas,"Ikan emas segar, pilihan terbaik untuk keluarga Anda.","54.000,00"
1406,Abeli,Lapulu,Ikan Gurami,"Ikan gurami segar, sempurna untuk berbagai jenis masakan.","70.000,00"
1407,Abeli,Lapulu,Ikan Mas Rumput,"Ikan mas rumput segar, sempurna untuk masakan goreng atau bakar.","48.000,00"
1408,Abeli,Lapulu,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau berkualitas, segar dan bergizi.","169.000,00"
1409,Abeli,Lapulu,Ikan Belida,Pilihan ikan belida segar terbaik untuk sajian spesial.,"100.000,00"
1410,Abeli,Lapulu,Ikan Belanak,Rasakan kelembutan ikan belanak segar di setiap hidangan.,"63.000,00"
1411,Abeli,Lapulu,Ikan Kiper,"Ikan kiper segar, langsung dari perairan ke meja makan.","35.000,00"
1412,Abeli,Lapulu,Ikan Mas Perak,"Ikan mas perak segar, langsung dari kolam ke meja makan.","31.000,00"
1413,Abeli,Lapulu,Ikan Nila,Pilihan ikan nila segar terbaik untuk masakan sehari-hari.,"34.000,00"
1414,Abeli,Lapulu,Ikan Kepala Ular,"Ikan kepala ular segar, pilihan tepat untuk hidangan spesial.","110.000,00"
1415,Abeli,Lapulu,Ikan Bulan-bulan,Pilihan ikan bulan-bulan segar terbaik untuk menu harian.,"72.000,00"
1416,Abeli,Lapulu,Kacang Kapri,"Kacang kapri bisa dimakan mentah atau dimasak sebentar. Mau dicampur salad atau tumisan, rasanya tetap enak dan segar","33.000,00"
1417,Abeli,Lapulu,Pare,Pare segar hanya Rp 20.000/kg. Nikmati khasiat sehatnya dalam setiap hidangan.,"20.000,00"
1418,Abeli,Lapulu,Labu Air,"Labu air segar seharga Rp 15.000 per buah, pas untuk berbagai jenis masakan. Labu air ini membantu menjaga keseimbangan cairan dalam tubuh dan memberikan rasa segar pada setiap hidangan","15.000,00"
1419,Abeli,Lapulu,Terong,Dapatkan terong segar hanya dengan Rp 8.000 per 400 gram. Cocok untuk berbagai resep masakan sehat dan lezat,"8.000,00"
1420,Abeli,Lapulu,Brokoli,Tambahkan brokoli segar ke dalam menu sehat harian Anda!,"32.000,00"
1421,Abeli,Lapulu,Kubis,Segarkan hidangan Anda dengan kubis organik seharga Rp 12.000 per kilogram!,"12.000,00"
1422,Abeli,Lapulu,Capsicum/Paprika,"Paprika premium dengan rasa manis dan pedas, cocok untuk segala jenis masakan!","27.000,00"
1423,Abeli,Lapulu,Wortel,"Wortel organik langsung dari petani lokal, pilihan sehat untuk keluarga Anda!","8.000,00"
1424,Abeli,Lapulu,Kembang Kol,"Promo kembang kol! Hanya Rp10.000 per buah. Kembang kol segar dan renyah, langsung dari petani. Pas untuk berbagai hidangan seperti capcay atau nasi goreng. Dapatkan kembang kol yang penuh gizi ini di lapak sayur kami!","10.000,00"
1425,Abeli,Lapulu,Timun,"Timun segar, hijau, dan berair, dijual per buah dengan harga Rp1.500. Cocok untuk jus atau salad. Dapatkan timun berkualitas langsung dari petani. Segar dan murah!","1.500,00"
1426,Abeli,Lapulu,Pepaya,"Pepaya segar dijual per kilo dengan harga Rp14.000. Buahnya besar, manis, dan penuh nutrisi. Ideal buat rujak atau dessert. Jangan sampai kehabisan, stok terbatas!","14.000,00"
1427,Abeli,Lapulu,Kentang,"Kentang besar dan segar, dijual per buah dengan harga Rp2.500. Ideal buat kentang goreng atau mashed potatoes. Kentangnya empuk dan lezat, ayo buruan beli!","2.500,00"
1428,Abeli,Lapulu,Labu,"Labu besar dan segar, dijual per buah dengan harga Rp7.000. Ideal buat kolak atau tumisan. Labunya empuk dan manis, ayo buruan beli sebelum kehabisan!","7.000,00"
1429,Abeli,Lapulu,Lobak,"Lobak besar dan segar, dijual per buah dengan harga Rp6.000. Ideal buat acar atau tumisan. Lobaknya renyah dan manis, ayo buruan beli sebelum kehabisan!","6.000,00"
1430,Abeli,Lapulu,Tomat,"Tomat merah dan segar, dijual per buah dengan harga Rp1.500. Ideal buat salad atau jus tomat. Tomatnya manis dan segar, ayo buruan beli sebelum kehabisan!","1.500,00"
1501,Abeli,Poasia,Ikan Bandeng,Nikmati kelembutan ikan bandeng segar di setiap hidangan.,"35.000,00"
1502,Abeli,Poasia,Ikan Lele,"Ikan Lele segar, cocok untuk berbagai masakan lezat.","27.000,00"
1503,Abeli,Poasia,Ikan Betok,"Ikan betok segar, sempurna untuk berbagai jenis masakan.","31.000,00"
1504,Abeli,Poasia,Belut Air Tawar,"Belut air tawar segar, langsung dari kolam ke dapur Anda.","74.000,00"
1505,Abeli,Poasia,Ikan Emas,"Ikan emas segar, mudah diolah menjadi berbagai hidangan.","46.000,00"
1506,Abeli,Poasia,Ikan Gurami,"Ikan gurami segar, cocok untuk masakan berkuah atau goreng.","72.000,00"
1507,Abeli,Poasia,Ikan Mas Rumput,Rasakan kelembutan ikan mas rumput segar di setiap hidangan.,"45.000,00"
1508,Abeli,Poasia,Ikan Buntal Bintik Hijau,Rasakan kelembutan ikan buntal bintik hijau segar di setiap hidangan.,"155.000,00"
1509,Abeli,Poasia,Ikan Belida,"Ikan belida segar, sempurna untuk berbagai olahan kuliner.","99.000,00"
1510,Abeli,Poasia,Ikan Belanak,"Ikan belanak segar, langsung dari laut ke meja makan.","56.000,00"
1511,Abeli,Poasia,Ikan Kiper,"Ikan kiper segar, sumber protein yang tinggi untuk keluarga.","39.000,00"
1512,Abeli,Poasia,Ikan Mas Perak,Rasakan kelembutan ikan mas perak segar di setiap hidangan.,"28.000,00"
1513,Abeli,Poasia,Ikan Nila,"Ikan nila segar, kaya akan nutrisi untuk menu harian.","40.000,00"
1514,Abeli,Poasia,Ikan Kepala Ular,"Ikan kepala ular segar, siap untuk berbagai jenis olahan lezat.","90.000,00"
1515,Abeli,Poasia,Ikan Bulan-bulan,"Ikan bulan-bulan segar, sempurna untuk berbagai olahan kuliner.","82.000,00"
1516,Abeli,Poasia,Kacang Kapri,"Masak kacang kapri bareng sayuran lain, hasilnya hidangan seimbang yang kaya nutrisi. Kombinasikan dengan wortel, brokoli, atau paprika.","35.000,00"
1517,Abeli,Poasia,Pare,Pare segar dengan harga Rp 6.000/300g. Sempurna untuk masakan rumahan,"6.000,00"
1518,Abeli,Poasia,Labu Air,"Labu air segar seharga Rp 20.000 per buah, kaya akan vitamin dan mineral penting. Cocok untuk berbagai resep, dari sup hingga tumisan","20.000,00"
1519,Abeli,Poasia,Terong,"Terong segar hanya Rp 5.000 per 250 gram. Sempurna untuk balado, tumis, atau goreng","5.000,00"
1520,Abeli,Poasia,Brokoli,"Brokoli kami, segar dan penuh gizi, siap menemani hidangan Anda!","35.000,00"
1521,Abeli,Poasia,Kubis,"Kubis lokal segar dari petani, hanya Rp 10.500 per kilogram!","10.500,00"
1522,Abeli,Poasia,Capsicum/Paprika,"Paprika segar langsung dari kebun lokal, penuh nutrisi dan rasa!","25.500,00"
1523,Abeli,Poasia,Wortel,"Wortel segar dengan warna oranye cerah, cocok untuk segala jenis masakan!","9.500,00"
1524,Abeli,Poasia,Kembang Kol,"Kembang kol pilihan dengan harga terjangkau, Rp17.000 per kilo. Sayuran ini serbaguna untuk segala masakan. Tambahkan dalam menu harian Anda untuk rasa dan kesehatan optimal. Beli sekarang dan rasakan sendiri kesegarannya!","17.000,00"
1525,Abeli,Poasia,Timun,"Timun terbaik, hanya Rp5.000 per kilo. Pas untuk lalapan atau acar. Timun ini segar dan lezat, siap menambah kesegaran di meja makan Anda. Ayo beli sekarang!","5.000,00"
1526,Abeli,Poasia,Pepaya,"Pepaya segar, manis, dan enak, dijual per buah hanya Rp11.000. Cocok untuk berbagai olahan, dari jus hingga salad. Ayo beli pepaya segar di lapak kami sebelum habis!","11.000,00"
1527,Abeli,Poasia,Kentang,"Kentang segar kualitas terbaik, hanya Rp15.000 per kilo. Pas buat segala jenis masakan, dari tumis sampai sup. Segera beli di lapak kami, kentangnya dijamin enak dan segar!","15.000,00"
1528,Abeli,Poasia,Labu,"Labu segar kualitas terbaik, hanya Rp10.000 per kilo. Pas buat segala jenis masakan, dari sayur sop sampai kolak. Segera beli di lapak kami, labunya dijamin segar dan enak!","10.000,00"
1529,Abeli,Poasia,Lobak,"Lobak segar kualitas terbaik, hanya Rp12.000 per kilo. Pas buat segala jenis masakan, dari sayur sop sampai acar. Segera beli di lapak kami, lobaknya dijamin segar dan enak!","12.000,00"
1530,Abeli,Poasia,Tomat,"Tomat segar kualitas terbaik, hanya Rp10.000 per kilo. Pas buat segala jenis masakan, dari sambal sampai salad. Segera beli di lapak kami, tomatnya dijamin segar dan enak!","10.000,00"
1601,Abeli,Pudai,Ikan Bandeng,"Ikan bandeng segar, cocok untuk berbagai jenis olahan.","33.500,00"
1602,Abeli,Pudai,Ikan Lele,"Ikan Lele segar, sempurna untuk masakan goreng atau bakar.","26.000,00"
1603,Abeli,Pudai,Ikan Betok,"Ikan betok segar, cocok untuk masakan berkuah atau goreng.","34.000,00"
1604,Abeli,Pudai,Belut Air Tawar,"Belut air tawar berkualitas, segar dan bergizi.","77.000,00"
1605,Abeli,Pudai,Ikan Emas,"Ikan emas segar, langsung dari kolam ke dapur Anda.","53.000,00"
1606,Abeli,Pudai,Ikan Gurami,Rasakan kelezatan ikan gurami segar di setiap hidangan.,"63.000,00"
1607,Abeli,Pudai,Ikan Mas Rumput,"Ikan mas rumput berkualitas, segar dan bergizi.","44.000,00"
1608,Abeli,Pudai,Ikan Buntal Bintik Hijau,"Ikan buntal bintik hijau segar, sempurna untuk masakan goreng atau bakar.","162.000,00"
1609,Abeli,Pudai,Ikan Belida,"Ikan belida segar, cocok untuk masakan berkuah atau goreng.","105.000,00"
1610,Abeli,Pudai,Ikan Belanak,"Ikan belanak segar, sumber protein yang kaya untuk keluarga.","59.000,00"
1611,Abeli,Pudai,Ikan Kiper,"Ikan kiper segar, mudah diolah menjadi hidangan spesial.","40.000,00"
1612,Abeli,Pudai,Ikan Mas Perak,"Ikan mas perak segar, cocok untuk masakan panggang atau goreng.","29.000,00"
1613,Abeli,Pudai,Ikan Nila,Dapatkan ikan nila segar berkualitas untuk masakan lezat.,"39.000,00"
1614,Abeli,Pudai,Ikan Kepala Ular,"Ikan kepala ular segar, kaya akan rasa dan gizi.","95.000,00"
1615,Abeli,Pudai,Ikan Bulan-bulan,"Ikan bulan-bulan segar, cocok untuk masakan panggang atau goreng.","75.000,00"
1616,Abeli,Pudai,Kacang Kapri,Kacang kapri ini mengandung zat besi dan magnesium. Beli sekarang untuk tambahan nutrisi harian Anda,"33.000,00"
1617,Abeli,Pudai,Pare,Pare segar dengan harga Rp 12.000/600g. Ideal untuk sup atau tumisan. Pare ini memiliki rasa pahit yang khas namun menyehatkan. Tambahkan ke dalam menu harian Anda untuk variasi rasa,"12.000,00"
1618,Abeli,Pudai,Labu Air,"Beli labu air segar seharga Rp 18.000 per buah. Labu air ini rendah kalori dan kaya akan serat, menjadikannya pilihan ideal untuk menu sehat Anda","18.000,00"
1619,Abeli,Pudai,Terong,Nikmati terong segar seharga Rp 6.500 per 300 gram. Ideal untuk dijadikan tambahan sayur dalam menu harian Anda,"6.500,00"
1620,Abeli,Pudai,Brokoli,Jaga kesehatan dengan brokoli segar yang kaya manfaat!,"27.500,00"
1621,Abeli,Pudai,Kubis,Dapatkan kubis renyah dan bergizi untuk salad Anda,"9.000,00"
1622,Abeli,Pudai,Capsicum/Paprika,Paprika organik yang menambah kelezatan dan kesehatan pada setiap hidangan!,"28.000,00"
1623,Abeli,Pudai,Wortel,"Wortel lezat dan bergizi, ideal untuk sup, salad, dan tumisan!","11.000,00"
1624,Abeli,Pudai,Kembang Kol,"Kembang kol segar, dijual per buah hanya Rp12.000. Ideal untuk berbagai resep sehat, dari tumisan hingga gratin. Sayur ini tidak hanya enak tapi juga kaya nutrisi. Datang dan beli kembang kol terbaik di pasar kami!","12.000,00"
1625,Abeli,Pudai,Timun,"Timun segar, renyah dan berair, dijual per buah hanya Rp2.500. Ideal untuk tambahan dalam sup atau salad. Pastikan Anda mendapatkan timun terbaik di lapak kami.","2.500,00"
1626,Abeli,Pudai,Pepaya,"Pepaya segar, manis, dan enak, dijual per buah hanya Rp11.000. Cocok untuk berbagai olahan, dari jus hingga salad. Ayo beli pepaya segar di lapak kami sebelum habis!","11.000,00"
1627,Abeli,Pudai,Kentang,"Kentang segar, dijual per buah cuma Rp2.000. Cocok buat berbagai masakan, dari kentang goreng sampai sayur lodeh. Kentang dari kebun sendiri, segar dan empuk!","2.000,00"
1628,Abeli,Pudai,Labu,"Labu segar, dijual per buah cuma Rp6.000. Cocok buat berbagai masakan, dari sup sampai tumisan. Labu dari kebun sendiri, segar dan empuk. Ayo beli sekarang!","6.000,00"
1629,Abeli,Pudai,Lobak,"Lobak segar, dijual per buah cuma Rp5.000. Cocok buat berbagai masakan, dari sup sampai tumisan. Lobak dari kebun sendiri, segar dan empuk. Ayo beli sekarang!","5.000,00"
